name,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,duration,rating,score,ranked,popularity,favorites
Sousou no Frieren,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",Fall 2023,Fridays at 23:00 (JST),"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Nippon Television Network', 'TOHO animation', 'Shogakukan']",['add some'],Madhouse,Manga,"['Adventure', 'Drama', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,9.36,#1,#259,"43,524"
Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,Wednesdays at 02:05 (JST),"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['Funimation'],White Fox,,"['Drama', 'Sci-Fi', 'Suspense']",24 min. per ep.,PG-13 - Teens 13 or older,9.07,#3,#13,"189,803"
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']","['Funimation', 'Aniplex of America']",Bones,Manga,"['Action', 'Adventure', 'Drama', 'Fantasy']",24 min. per ep.,R - 17+ (violence & profanity),9.09,#2,#3,"226,283"
Gintama°,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,Wednesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu']","['Funimation', 'Crunchyroll']",Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,9.06,#4,#343,"16,685"
Shingeki no Kyojin Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",['Funimation'],Wit Studio,Manga,"['Action', 'Drama', 'Suspense']",23 min. per ep.,R - 17+ (violence & profanity),9.05,#5,#21,"58,822"
Gintama: The Final,Movie,1,Finished Airing,"Jan 8, 2021",,,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']",['Eleven Arts'],Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",1 hr. 44 min.,PG-13 - Teens 13 or older,9.04,#6,#1531,"4,287"
Gintama',TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,Mondays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha']",['add some'],Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,9.03,#7,#394,"8,160"
Hunter x Hunter (2011),TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"['VAP', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],Madhouse,Manga,"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,9.03,#8,#9,"211,007"
Ginga Eiyuu Densetsu,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,,"['TV Tokyo', 'Kitty Films', 'Tokuma Shoten', 'Tokuma Japan Communications', 'Wright Staff']",['Sentai Filmworks'],K-Factory,,"['Drama', 'Sci-Fi']",26 min. per ep.,R - 17+ (violence & profanity),9.02,#9,#744,"16,320"
Gintama': Enchousen,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']",['add some'],Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,9.02,#10,#739,"3,053"
